rating,text,sentiment_label
1,"First of all i'm not a big fan of buffet, i tried it because we got a 50 credit for staying at monte carlo la vega friend recommended we go to this place.",Negative
2,"Thanks Yelp. I was looking for the words to describe this place, and I found them: Lousy service, bad reception, a real mess.",Negative
3,"Service was so-so. They were receiving a delivery so that might have affected service. Food was mediocre.",Neutral
4,"Great place with excellent food and friendly staff! Would definitely recommend to anyone visiting.",Positive
5,"Amazing experience! The food was delicious, service was quick, and the atmosphere was perfect.",Positive
4,"Really enjoyed my meal here. Good portions, friendly waiters, and the place is clean.",Positive
1,"Terrible experience. Cold food, rude staff, and way overpriced. Never going back.",Negative
3,"It was okay. Nothing special but nothing terrible either. Average place for an average meal.",Neutral
2,"Not worth the money. Food was bland, wait time was excessive, and the location is hard to find.",Negative
5,"Love this place! Best restaurant in town. Staff goes above and beyond to make you feel welcome.",Positive
